id,relation,['Nombre', 'Cargo', '% Derechos Voto']
1,[],'TUBACEX, S.A.', 'AROSTEGUI GOMEZ, GERARDO', 'CONSEJERO', '0.025', '30/11/1989'
2,[],'TUBACEX, S.A.', 'BAGOETA, S.L.', 'CONSEJERO', '17.756', '23/05/2012'
3,[80],'TUBACEX, S.A.', 'CRESPO BOFIL, CONSUELO', 'CONSEJERO', 'n/d', '28/05/2009'
4,[1119],'TUBACEX, S.A.', 'DE IRALA ESTEVEZ, XABIER', 'CONSEJERO', 'n/d', '28/05/2009'
5,[],'TUBACEX, S.A.', 'ESMORIS ESMORIS, JESUS', 'CONSEJERO DELEGADO', '0.001', '28/01/2013'
6,[],'TUBACEX, S.A.', 'GARTEIZGOGEASCOA IGUAIN, JUAN', 'VICEPRESIDENTE', 'n/d', '11/11/2005'
7,[668],'TUBACEX, S.A.', 'GONZALEZ-ADALID GARCIA-ZOZAYA, ANTONIO', 'CONSEJERO', '0.026', '28/05/2009'
8,[326,1446],'TUBACEX, S.A.', 'GRUPO CORPORATIVO EMPRESARIAL DE LA CAJA DE AHORROS Y M. PIEDAD DE NAVARRA', 'CONSEJERO', '8.830', '28/05/2009'
9,[],'TUBACEX, S.A.', 'GUEVARA SALETA, JUAN RAMON', 'CONSEJERO', 'n/d', '21/09/1994'
10,[1133],'TUBACEX, S.A.', 'IRIBECAMPOS ZUBIA, JUAN JOSE', 'CONSEJERO', 'n/d', '22/05/2008'
11,[884],'TUBACEX, S.A.', 'MARCO-GARDOQUI IBA\xc3\x91EZ, IGNACIO', 'CONSEJERO', '0.041', '23/05/2012'
12,[834],'TUBACEX, S.A.', 'VIDEGAIN MURO, ALVARO', 'PRESIDENTE', '0.108', '30/06/1992'
13,[357],'VIDRALA, S.A.', 'ADDVALIA CAPITAL, S.A.', 'CONSEJERO', '5.305', '23/09/2008'
14,[],'VIDRALA, S.A.', 'DE NORONHA SANTOS GALLO, VICTOR MANUEL', 'CONSEJERO', '3.570', '18/05/2004'
15,[],'VIDRALA, S.A.', 'DELCLAUX DE LA SOTA, RAMON', 'CONSEJERO', '0.465', '21/06/2005'
16,[],'VIDRALA, S.A.', 'DELCLAUX MULLER, LUIS', 'CONSEJERO', '0.621', '22/06/2004'
17,[],'VIDRALA, S.A.', 'DELCLAUX ZUBIRIA, ALVARO', 'CONSEJERO', '0.000', '21/06/2002'
18,[],'VIDRALA, S.A.', 'DELCLAUX ZULUETA, CARLOS', 'PRESIDENTE', '1.186', '21/06/2002'
19,[],'VIDRALA, S.A.', 'ERRANDONEA DELCLAUX, ESTEBAN', 'CONSEJERO', '0.004', '14/06/2001'
20,[],'VIDRALA, S.A.', 'GUIBERT DELCLAUX, RAFAEL', 'CONSEJERO', '0.519', '30/11/1989'
21,[],'VIDRALA, S.A.', 'GUTIERREZ MARTINEZ DE COMPA\xc3\x91ON, JAVIER', 'CONSEJERO', '0.392', '23/06/2011'
22,[],'VIDRALA, S.A.', 'URIG\xc3\x9cEN VILLALBA, MARIA VIRGINIA', 'CONSEJERO', '0.452', '25/04/1996'
23,[],'VIDRALA, S.A.', 'ZAVALA ORTIZ DE LA TORRE, EDUARDO', 'CONSEJERO', '0.831', '28/09/2004'
24,[877],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'ALDECOA SAGASTASOLOA, JOSE MARIA', 'CONSEJERO', '0.000', '25/07/2012'
25,[],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'ARACAMA YOLDI, JOSE MARIA', 'CONSEJERO', '0.000', '08/03/2011'
26,[665,735],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'ARREGUI CIARSOLO, JUAN LUIS', 'VICEPRESIDENTE', '0.054', '21/04/2010'
27,[],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'CASTRESANA SANCHEZ, RAMON', 'CONSEJERO', '0.001', '25/07/2012'
28,[849],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'LADA DIAZ, LUIS', 'CONSEJERO', '0.000', '23/10/2009'
29,[],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'MARTIN SAN VICENTE, IGNACIO', 'PRESIDENTE-CONSEJERO DELEGADO', '0.000', '23/05/2012'
30,[],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'RODRIGUEZ QUIROGA MENENDEZ, CARLOS', 'SECRETARIO CONSEJERO', '0.000', '27/07/2006'
31,[],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'RUBIO REINOSO, SONSOLES', 'CONSEJERO', '0.000', '14/12/2011'
32,[],'GAMESA CORPORACION TECNOLOGICA, S.A.', 'VAZQUEZ EGUSQUIZA, JOSE MARIA', 'CONSEJERO', 'n/d', '25/05/2007'
33,[],'FUNESPA\xc3\x91A, S.A.', 'DEL RIO MARTIN, JAVIER', 'CONSEJERO', '0.000', '17/07/2012'
34,[],'FUNESPA\xc3\x91A, S.A.', 'HIDALGO CASTA\xc3\x91O, MARIA VICTORIA', 'CONSEJERO', '0.000', '17/07/2012'
35,[],'FUNESPA\xc3\x91A, S.A.', 'LAMAS LOPEZ, WENCESLAO', 'CONSEJERO', '2.541', '17/07/2012'
