source,target,value
"TUBACEX, S.A.","AROSTEGUI GOMEZ, GERARDO",1
"TUBACEX, S.A.","BAGOETA, S.L.",1
"TUBACEX, S.A.","CRESPO BOFIL, CONSUELO",2
"TUBACEX, S.A.","DE IRALA ESTEVEZ, XABIER",2
"TUBACEX, S.A.","ESMORIS ESMORIS, JESUS",1
"TUBACEX, S.A.","GARTEIZGOGEASCOA IGUAIN, JUAN",1
"TUBACEX, S.A.","GONZALEZ-ADALID GARCIA-ZOZAYA, ANTONIO",2
"TUBACEX, S.A.","GRUPO CORPORATIVO EMPRESARIAL DE LA CAJA DE AHORROS Y M. PIEDAD DE NAVARRA",3
"TUBACEX, S.A.","GUEVARA SALETA, JUAN RAMON",1
"TUBACEX, S.A.","IRIBECAMPOS ZUBIA, JUAN JOSE",2
"TUBACEX, S.A.","MARCO-GARDOQUI IBAÑEZ, IGNACIO",2
"TUBACEX, S.A.","VIDEGAIN MURO, ALVARO",2
"VIDRALA, S.A.","ADDVALIA CAPITAL, S.A.",2
"VIDRALA, S.A.","DE NORONHA SANTOS GALLO, VICTOR MANUEL",1
"VIDRALA, S.A.","DELCLAUX DE LA SOTA, RAMON",1
"VIDRALA, S.A.","DELCLAUX MULLER, LUIS",1
"VIDRALA, S.A.","DELCLAUX ZUBIRIA, ALVARO",1
"VIDRALA, S.A.","DELCLAUX ZULUETA, CARLOS",1
"VIDRALA, S.A.","ERRANDONEA DELCLAUX, ESTEBAN",1
"VIDRALA, S.A.","GUIBERT DELCLAUX, RAFAEL",1
"VIDRALA, S.A.","GUTIERREZ MARTINEZ DE COMPAÑON, JAVIER",1
"VIDRALA, S.A.","URIGÜEN VILLALBA, MARIA VIRGINIA",1
"VIDRALA, S.A.","ZAVALA ORTIZ DE LA TORRE, EDUARDO",1
"GAMESA CORPORACION TECNOLOGICA, S.A.","ALDECOA SAGASTASOLOA, JOSE MARIA",2
"GAMESA CORPORACION TECNOLOGICA, S.A.","ARACAMA YOLDI, JOSE MARIA",1
"GAMESA CORPORACION TECNOLOGICA, S.A.","ARREGUI CIARSOLO, JUAN LUIS",3
"GAMESA CORPORACION TECNOLOGICA, S.A.","CASTRESANA SANCHEZ, RAMON",1
"GAMESA CORPORACION TECNOLOGICA, S.A.","LADA DIAZ, LUIS",2
"GAMESA CORPORACION TECNOLOGICA, S.A.","MARTIN SAN VICENTE, IGNACIO",1
"GAMESA CORPORACION TECNOLOGICA, S.A.","RODRIGUEZ QUIROGA MENENDEZ, CARLOS",1
"GAMESA CORPORACION TECNOLOGICA, S.A.","RUBIO REINOSO, SONSOLES",1
"GAMESA CORPORACION TECNOLOGICA, S.A.","VAZQUEZ EGUSQUIZA, JOSE MARIA",1
"FUNESPAÑA, S.A.","DEL RIO MARTIN, JAVIER",1
