Empresa,Nombre,Cargo,% Derechos Voto,Fecha Nombramiento
"TUBACEX, S.A.","AROSTEGUI GOMEZ, GERARDO",CONSEJERO,0.025,30/11/1989
"TUBACEX, S.A.","BAGOETA, S.L.",CONSEJERO,17.756,23/05/2012
"TUBACEX, S.A.","CRESPO BOFIL, CONSUELO",CONSEJERO,n/d,28/05/2009
"TUBACEX, S.A.","DE IRALA ESTEVEZ, XABIER",CONSEJERO,n/d,28/05/2009
"TUBACEX, S.A.","ESMORIS ESMORIS, JESUS",CONSEJERO DELEGADO,0.001,28/01/2013
"TUBACEX, S.A.","GARTEIZGOGEASCOA IGUAIN, JUAN",VICEPRESIDENTE,n/d,11/11/2005
"TUBACEX, S.A.","GONZALEZ-ADALID GARCIA-ZOZAYA, ANTONIO",CONSEJERO,0.026,28/05/2009
"TUBACEX, S.A.",GRUPO CORPORATIVO EMPRESARIAL DE LA CAJA DE AHORROS Y M. PIEDAD DE NAVARRA,CONSEJERO,8.830,28/05/2009
"TUBACEX, S.A.","GUEVARA SALETA, JUAN RAMON",CONSEJERO,n/d,21/09/1994
"TUBACEX, S.A.","IRIBECAMPOS ZUBIA, JUAN JOSE",CONSEJERO,n/d,22/05/2008
"TUBACEX, S.A.","MARCO-GARDOQUI IBAÑEZ, IGNACIO",CONSEJERO,0.041,23/05/2012
"TUBACEX, S.A.","VIDEGAIN MURO, ALVARO",PRESIDENTE,0.108,30/06/1992
"VIDRALA, S.A.","ADDVALIA CAPITAL, S.A.",CONSEJERO,5.305,23/09/2008
"VIDRALA, S.A.","DE NORONHA SANTOS GALLO, VICTOR MANUEL",CONSEJERO,3.570,18/05/2004
"VIDRALA, S.A.","DELCLAUX DE LA SOTA, RAMON",CONSEJERO,0.465,21/06/2005
"VIDRALA, S.A.","DELCLAUX MULLER, LUIS",CONSEJERO,0.621,22/06/2004
"VIDRALA, S.A.","DELCLAUX ZUBIRIA, ALVARO",CONSEJERO,0.000,21/06/2002
"VIDRALA, S.A.","DELCLAUX ZULUETA, CARLOS",PRESIDENTE,1.186,21/06/2002
"VIDRALA, S.A.","ERRANDONEA DELCLAUX, ESTEBAN",CONSEJERO,0.004,14/06/2001
"VIDRALA, S.A.","GUIBERT DELCLAUX, RAFAEL",CONSEJERO,0.519,30/11/1989
"VIDRALA, S.A.","GUTIERREZ MARTINEZ DE COMPAÑON, JAVIER",CONSEJERO,0.392,23/06/2011
"VIDRALA, S.A.","URIGÜEN VILLALBA, MARIA VIRGINIA",CONSEJERO,0.452,25/04/1996
"VIDRALA, S.A.","ZAVALA ORTIZ DE LA TORRE, EDUARDO",CONSEJERO,0.831,28/09/2004
"GAMESA CORPORACION TECNOLOGICA, S.A.","ALDECOA SAGASTASOLOA, JOSE MARIA",CONSEJERO,0.000,25/07/2012
"GAMESA CORPORACION TECNOLOGICA, S.A.","ARACAMA YOLDI, JOSE MARIA",CONSEJERO,0.000,08/03/2011
"GAMESA CORPORACION TECNOLOGICA, S.A.","ARREGUI CIARSOLO, JUAN LUIS",VICEPRESIDENTE,0.054,21/04/2010
"GAMESA CORPORACION TECNOLOGICA, S.A.","CASTRESANA SANCHEZ, RAMON",CONSEJERO,0.001,25/07/2012
"GAMESA CORPORACION TECNOLOGICA, S.A.","LADA DIAZ, LUIS",CONSEJERO,0.000,23/10/2009
"GAMESA CORPORACION TECNOLOGICA, S.A.","MARTIN SAN VICENTE, IGNACIO",PRESIDENTE-CONSEJERO DELEGADO,0.000,23/05/2012
"GAMESA CORPORACION TECNOLOGICA, S.A.","RODRIGUEZ QUIROGA MENENDEZ, CARLOS",SECRETARIO CONSEJERO,0.000,27/07/2006
"GAMESA CORPORACION TECNOLOGICA, S.A.","RUBIO REINOSO, SONSOLES",CONSEJERO,0.000,14/12/2011
"GAMESA CORPORACION TECNOLOGICA, S.A.","VAZQUEZ EGUSQUIZA, JOSE MARIA",CONSEJERO,n/d,25/05/2007
"FUNESPAÑA, S.A.","DEL RIO MARTIN, JAVIER",CONSEJERO,0.000,17/07/2012
"FUNESPAÑA, S.A.","HIDALGO CASTAÑO, MARIA VICTORIA",CONSEJERO,0.000,17/07/2012
"FUNESPAÑA, S.A.","LAMAS LOPEZ, WENCESLAO",CONSEJERO,2.541,17/07/2012
"FUNESPAÑA, S.A.","MAPFRE FAMILIAR COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.",PRESIDENTE,63.800,17/07/2012
"FUNESPAÑA, S.A.","MATIACCI MARCOS, MARIA TERESA",CONSEJERO,0.000,17/07/2012
"FUNESPAÑA, S.A.","ORTIZ JOVER, ALBERTO",CONSEJERO DELEGADO,0.000,30/05/2012
"FUNESPAÑA, S.A.","RODULFO LAVILLA, CARLOS",CONSEJERO,0.000,17/09/2007
"FUNESPAÑA, S.A.","VALDIVIA GERADA, ANGEL",CONSEJERO DELEGADO,0.849,13/03/1995
"FUNESPAÑA, S.A.","VALDIVIA GERADA, JUAN ANTONIO",VICEPRESIDENTE,17.203,17/07/2012
"ALZA REAL ESTATE, S.A.","ALARCON SAINZ, MARIA EMILIA",CONSEJERO,4.374,27/06/2011
"ALZA REAL ESTATE, S.A.","ALARCON ZAMORA, TOMAS",PRESIDENTE,41.990,17/04/2007
"ALZA REAL ESTATE, S.A.","ARROJO BOTIJA, JOSE MANUEL",CONSEJERO,0.472,17/04/2007
"ALZA REAL ESTATE, S.A.",GISA LIMITED,CONSEJERO,4.481,26/03/2012
"ALZA REAL ESTATE, S.A.","LOPEZ DE HERRERA-ORIA, LUIS",CONSEJERO DELEGADO,0.886,17/04/2007
"ALZA REAL ESTATE, S.A.","RICART DE OLIVAR, FEDERICO",CONSEJERO,0.910,28/09/2009
"ALZA REAL ESTATE, S.A.","SOTRES DE LA SEN, NATALIO",CONSEJERO,0.000,28/06/2011
"ALZA REAL ESTATE, S.A.","ZANETTY DUEÑAS, JOSE LUIS",CONSEJERO,0.000,28/09/2009
"BANCO DE SABADELL, S.A.","ANDIC ERMAY, ISAK",VICEPRESIDENTE,2.820,25/11/2010
"BANCO DE SABADELL, S.A.","CASAS SELVAS, FRANCISCO",CONSEJERO,0.040,13/11/1997
"BANCO DE SABADELL, S.A.","COLONQUES MORENO, HECTOR",CONSEJERO,0.060,31/10/2001
"BANCO DE SABADELL, S.A.","DAURELLA COMADRAN, SOLEDAD",CONSEJERO,0.328,19/03/2009
"BANCO DE SABADELL, S.A.","ECHENIQUE LANDIRIBAR, JAVIER",VICEPRESIDENTE,0.001,16/12/2010
"BANCO DE SABADELL, S.A.","FOLCH-RUSIÑOL CORACHAN, JOAQUIN",CONSEJERO,0.506,09/03/2000
"BANCO DE SABADELL, S.A.","GARCIA-MILA LLOVERAS, MARIA TERESA",CONSEJERO,0.001,30/03/2007
"BANCO DE SABADELL, S.A.","GUARDIOLA ROMOJARO, JAIME",CONSEJERO DELEGADO,0.008,27/09/2007
"BANCO DE SABADELL, S.A.","LARA BOSCH, JOSE MANUEL",VICEPRESIDENTE,0.044,25/11/2010
"BANCO DE SABADELL, S.A.","LLONCH ANDREU, JOAN",CONSEJERO,0.044,18/04/2001
"BANCO DE SABADELL, S.A.","MARTINEZ SUFRATEGUI, JOSE RAMON",CONSEJERO,0.027,16/12/2010
"BANCO DE SABADELL, S.A.","MARTINS MONTEIRO, ANTONIO VITOR",CONSEJERO,0.000,20/09/2012
"BANCO DE SABADELL, S.A.","NEGRO RODRIGUEZ, JOSE LUIS",CONSEJERO,0.053,31/05/2012
"BANCO DE SABADELL, S.A.","OLIU CREUS, JOSE",PRESIDENTE,0.205,23/12/1999
"BANCO DE SABADELL, S.A.","PERMANYER CUNILLERA, JOSE",CONSEJERO,0.068,21/03/2002
"ERCROS, S.A.","BLANCO BALIN, JOSE RAMON",CONSEJERO,0.000,29/07/1996
"ERCROS, S.A.","FERNANDEZ-GOULA PFAFF, LUIS",CONSEJERO,0.000,09/04/2010
"ERCROS, S.A.","ROLDAN AGUILAR, LAUREANO",CONSEJERO,0.000,29/07/1996
"ERCROS, S.A.","SANCHEZ MORRONDO, EDUARDO",CONSEJERO,0.000,18/06/2004
"ERCROS, S.A.","ZABALZA MARTI, ANTONIO",PRESIDENTE,0.042,14/06/1996
SOCIEDAD ANONIMA DAMM,"AGENJO BOSCH, RAMON",SECRETARIO CONSEJERO,0.018,15/06/1990
SOCIEDAD ANONIMA DAMM,"CARCELLER ARCE, DEMETRIO",PRESIDENTE,0.684,23/06/1993
SOCIEDAD ANONIMA DAMM,"DISA CORPORACION PETROLIFERA, S.A.",CONSEJERO,27.768,21/06/1999
SOCIEDAD ANONIMA DAMM,"DISA FINANCIACION, S.A.U.",CONSEJERO,0.021,23/06/2010
SOCIEDAD ANONIMA DAMM,"FURRIOL FORNELS, PAU",CONSEJERO,0.126,30/08/1993
SOCIEDAD ANONIMA DAMM,"HARDMAN CERES, S.L.",CONSEJERO,0.410,26/02/1996
SOCIEDAD ANONIMA DAMM,"OETKER , RUDOLF-AUGUST",CONSEJERO,0.002,26/06/2001
SOCIEDAD ANONIMA DAMM,"SCHRODER , ERNST FRIEDRICH",CONSEJERO,0.000,29/06/2010
SOCIEDAD ANONIMA DAMM,"SEEGRUND, B.V.",CONSEJERO,13.952,07/07/1994
"ACCIONA, S.A.","CASTELLANOS BORREGO, JAIME",CONSEJERO,0.071,04/06/2009
"ACCIONA, S.A.","CRESPO BOFIL, CONSUELO",CONSEJERO,n/d,19/06/2008
"ACCIONA, S.A.","DAURELLA COMADRAN, SOLEDAD",CONSEJERO,0.025,09/06/2011
"ACCIONA, S.A.","ENTRECANALES DOMECQ, DANIEL",CONSEJERO,0.154,04/06/2009
"ACCIONA, S.A.","ENTRECANALES DOMECQ, JOSE MANUEL",PRESIDENTE,0.112,26/04/2004
"ACCIONA, S.A.","ENTRECANALES FRANCO, JAVIER",CONSEJERO,0.000,22/09/2011
"ACCIONA, S.A.","ENTRECANALES FRANCO, JUAN IGNACIO",VICEPRESIDENTE,0.026,26/04/2004
"ACCIONA, S.A.","ESPINOSA DE LOS MONTEROS BERNALDO DE QUIROS, CARLOS",CONSEJERO,0.005,29/06/1994
