Empresa,Nombre,% Derechos Voto,Fecha Registro CNMV
"TUBACEX, S.A.","BAGOETA, S.L.",18.088,24/09/2007
"TUBACEX, S.A.","BANCA CIVICA, S.A.",8.830,30/06/2011
"TUBACEX, S.A.",BT PENSION SCHEMA TRUSTEES LIMITED,3.006,01/10/2008
"TUBACEX, S.A.","CARTERA INDUSTRIAL REA, S.A.",5.000,14/11/2008
"TUBACEX, S.A.","LARREDER, S.L.",18.088,24/09/2007
"VIDRALA, S.A.","BIDAROA, S.L.",5.662,02/01/2008
"VIDRALA, S.A.","DE LA SOTA POVEDA, FUENSANTA",3.420,04/01/2008
"VIDRALA, S.A.","MUGARBURU, S.L.",5.767,08/01/2008
"VIDRALA, S.A.","URDALA 21, S.L.",5.552,08/01/2008
"VIDRALA, S.A.","ZULUETA PICAVEA, BEGOÑA",6.384,08/04/2008
"GAMESA CORPORACION TECNOLOGICA, S.A.",BLACKROCK GLOBAL FUNDS,3.029,20/05/2008
"GAMESA CORPORACION TECNOLOGICA, S.A.",BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,3.366,20/05/2008
"FUNESPAÑA, S.A.","ASTALDO, S.L.",15.010,26/03/2007
"FUNESPAÑA, S.A.",FUNDACION MAPFRE,27.280,28/07/2010
"FUNESPAÑA, S.A.","I.A.F. INVERSIONES Y ASESORAMIENTO FINANCIER, S.L.",9.286,29/07/2010
"FUNESPAÑA, S.A.","RODRIGO FERNANDEZ, JOSE IGNACIO",25.019,07/09/2011
"ALZA REAL ESTATE, S.A.",GISA DEVELOPEMENT INC,4.481,14/11/2011
"ALZA REAL ESTATE, S.A.","SAIZ ALARCON, JUANA",39.349,10/03/2008
"BANCO DE SABADELL, S.A.",BANCO COMERCIAL PORTUGUES,4.696,16/02/2011
"BANCO DE SABADELL, S.A.","FAMOL PARTICIPACIONES, S.L.",4.935,26/11/2010
"BANCO DE SABADELL, S.A.",FUNDO DE PENSOES GRUPO BCP,4.458,15/02/2011
"BANCO DE SABADELL, S.A.","INVERSIONES HEMISFERIO, S.L.",4.626,08/02/2011
"BANCO DE SABADELL, S.A.","JAIPUR INVESTMENT, S.L.",4.993,24/02/2011
"BANCO DE SABADELL, S.A.","MAYOR VENT, S.L. UNIPERSONAL",5.000,23/05/2011
SOCIEDAD ANONIMA DAMM,"BOAG VALORES, S.L.",5.126,01/09/2011
SOCIEDAD ANONIMA DAMM,DR. AUGUST OETKER KG,25.014,21/09/2011
SOCIEDAD ANONIMA DAMM,"LA MORAVIA D´INVERSIONS, S.A.",6.056,31/08/2011
"ACCIONA, S.A.",ENTREAZCA BV,24.715,20/07/2011
